weathercode,temperature_2m_max,temperature_2m_min,temperature_2m_mean,apparent_temperature_max,apparent_temperature_min,apparent_temperature_mean,shortwave_radiation_sum,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours,windspeed_10m_max,windgusts_10m_max,winddirection_10m_dominant,et0_fao_evapotranspiration,latitude,longitude,elevation,sunrise_hour,sunrise_minute,sunset_hour,sunset_minute,year,month,day,city_Colombo
2,30.0,22.7,26.1,34.4,25.2,29.2,20.92,0.0,0.0,0.0,0.0,11.7,27.4,20,4.58,7.0,79.899994,16.0,0,52,12,35,2010,1,1,1
51,29.9,23.5,26.2,33.8,26.2,29.8,17.71,0.1,0.1,0.0,1.0,13.0,27.0,24,3.84,7.0,79.899994,16.0,0,52,12,36,2010,1,2,1
51,29.5,23.2,26.0,34.3,26.3,29.9,17.76,0.6,0.6,0.0,3.0,12.3,27.4,16,3.65,7.0,79.899994,16.0,0,53,12,36,2010,1,3,1
2,28.9,21.9,25.3,31.6,23.4,27.8,16.5,0.0,0.0,0.0,0.0,17.0,34.6,356,3.79,7.0,79.899994,16.0,0,53,12,37,2010,1,4,1
1,28.1,21.3,24.5,30.1,23.1,26.1,23.61,0.0,0.0,0.0,0.0,18.7,37.1,355,4.97,7.0,79.899994,16.0,0,53,12,37,2010,1,5,1
2,28.7,21.3,25.0,31.2,22.9,26.6,21.48,0.0,0.0,0.0,0.0,17.1,32.0,12,4.89,7.0,79.899994,16.0,0,54,12,38,2010,1,6,1
3,29.3,22.0,25.8,33.8,24.3,28.6,19.38,0.0,0.0,0.0,0.0,13.5,25.6,10,4.37,7.0,79.899994,16.0,0,54,12,38,2010,1,7,1
53,28.3,23.3,25.5,32.1,26.1,29.4,13.0,0.8,0.8,0.0,3.0,13.0,24.8,10,2.8,7.0,79.899994,16.0,0,54,12,39,2010,1,8,1
61,29.1,23.3,25.9,35.3,28.0,31.2,16.89,3.2,3.2,0.0,5.0,11.5,31.7,164,3.35,7.0,79.899994,16.0,0,55,12,39,2010,1,9,1
51,29.8,22.8,26.1,35.6,27.3,31.3,20.52,0.1,0.1,0.0,1.0,6.9,18.4,26,4.12,7.0,79.899994,16.0,0,55,12,40,2010,1,10,1
51,29.7,22.4,26.4,35.6,26.6,31.6,19.88,0.7,0.7,0.0,5.0,6.4,18.4,182,4.05,7.0,79.899994,16.0,0,55,12,40,2010,1,11,1
63,29.7,23.8,26.1,36.5,29.0,31.5,19.56,6.8,6.8,0.0,4.0,11.2,26.6,25,3.87,7.0,79.899994,16.0,0,56,12,41,2010,1,12,1
63,30.0,23.5,26.2,36.7,28.4,31.5,18.41,4.8,4.8,0.0,10.0,7.6,24.1,149,3.74,7.0,79.899994,16.0,0,56,12,41,2010,1,13,1
63,30.3,23.2,26.2,37.2,27.9,31.7,19.46,5.7,5.7,0.0,4.0,10.2,26.6,133,3.94,7.0,79.899994,16.0,0,56,12,42,2010,1,14,1
1,30.6,23.3,26.5,34.5,26.1,29.6,21.05,0.0,0.0,0.0,0.0,12.4,24.8,22,4.66,7.0,79.899994,16.0,0,57,12,42,2010,1,15,1
53,30.9,23.6,26.6,36.0,26.3,30.8,19.46,3.3,3.3,0.0,4.0,10.8,28.1,25,4.07,7.0,79.899994,16.0,0,57,12,43,2010,1,16,1
61,29.7,24.1,26.5,33.4,27.3,30.0,16.88,2.7,2.7,0.0,4.0,14.2,32.0,19,3.7,7.0,79.899994,16.0,0,57,12,43,2010,1,17,1
61,29.4,23.9,26.1,33.9,27.3,30.1,15.79,4.5,4.5,0.0,5.0,9.8,24.1,23,3.36,7.0,79.899994,16.0,0,57,12,44,2010,1,18,1
63,30.9,23.6,26.8,36.9,26.6,30.9,19.4,4.9,4.9,0.0,5.0,9.4,25.9,39,4.16,7.0,79.899994,16.0,0,57,12,44,2010,1,19,1
1,31.2,23.2,26.8,35.8,25.4,29.9,22.72,0.0,0.0,0.0,0.0,11.2,23.8,25,4.86,7.0,79.899994,16.0,0,58,12,44,2010,1,20,1
0,30.9,22.3,26.4,34.1,24.5,28.7,23.56,0.0,0.0,0.0,0.0,14.9,32.0,16,5.34,7.0,79.899994,16.0,0,58,12,45,2010,1,21,1
0,31.0,21.8,26.1,33.7,23.4,28.3,24.28,0.0,0.0,0.0,0.0,13.8,31.0,9,5.23,7.0,79.899994,16.0,0,58,12,45,2010,1,22,1
1,30.7,21.5,25.9,33.5,22.7,28.3,23.34,0.0,0.0,0.0,0.0,13.7,29.9,10,4.81,7.0,79.899994,16.0,0,58,12,46,2010,1,23,1
3,30.8,22.5,26.7,34.1,25.1,29.8,19.96,0.0,0.0,0.0,0.0,9.0,19.1,316,4.33,7.0,79.899994,16.0,0,58,12,46,2010,1,24,1
3,31.4,23.4,27.3,34.5,26.9,30.6,19.63,0.0,0.0,0.0,0.0,10.1,25.6,13,4.31,7.0,79.899994,16.0,0,58,12,46,2010,1,25,1
1,32.5,23.9,27.9,37.1,27.5,31.5,23.35,0.0,0.0,0.0,0.0,7.9,20.5,4,5.03,7.0,79.899994,16.0,0,59,12,47,2010,1,26,1
51,32.7,24.0,28.0,38.0,27.6,32.1,20.57,0.2,0.2,0.0,2.0,9.4,23.0,30,4.38,7.0,79.899994,16.0,0,59,12,47,2010,1,27,1
51,32.4,24.5,28.1,36.6,27.0,31.5,20.12,0.1,0.1,0.0,1.0,14.3,29.9,20,4.77,7.0,79.899994,16.0,0,59,12,47,2010,1,28,1
3,32.9,24.5,28.1,36.1,26.9,30.7,20.67,0.0,0.0,0.0,0.0,14.2,32.4,22,5.24,7.0,79.899994,16.0,0,59,12,48,2010,1,29,1
65,29.4,22.7,25.9,32.1,25.6,28.5,10.81,48.9,48.9,0.0,11.0,15.5,33.8,19,2.96,7.0,79.899994,16.0,0,59,12,48,2010,1,30,1
